filename,file_exists,hash_mismatch,modified,is_malicious
represent.json,1,0,0,0
modern.css,1,0,0,0
week.jpeg,1,0,0,0
cut.css,1,1,1,1
trip.bmp,0,1,1,1
especially.pages,1,0,0,0
marriage.gif,1,0,0,0
each.wav,0,1,1,1
guy.wav,0,0,1,1
other.flac,1,0,0,0
public.bmp,1,1,1,1
while.txt,1,1,1,1
wish.css,0,0,1,1
bill.css,1,0,0,0
into.flac,1,0,1,1
yard.wav,1,0,0,0
no.png,1,0,0,0
expert.mp4,1,0,0,0
our.avi,0,0,1,1
truth.tiff,1,0,0,0
star.jpg,1,0,1,1
establish.mov,0,1,1,1
recent.tiff,0,0,1,1
personal.js,0,1,1,1
south.wav,0,0,1,1
live.flac,1,0,1,1
science.mp4,1,0,0,0
kind.css,1,0,0,0
third.csv,0,1,1,1
off.bmp,0,0,1,1
each.jpg,1,0,0,0
true.numbers,1,0,0,0
free.webm,1,0,0,0
wear.wav,0,1,1,1
popular.json,1,1,1,1
stock.jpg,1,1,1,1
far.css,1,0,0,0
ten.odp,1,0,1,1
get.mp3,1,0,0,0
agree.mp4,1,0,0,0
significant.html,0,1,1,1
say.xls,1,0,0,0
physical.jpg,1,0,0,0
almost.gif,0,0,1,1
right.key,1,0,0,0
situation.wav,0,1,1,1
mind.csv,1,0,0,0
rather.flac,0,0,1,1
huge.docx,1,0,0,0
arrive.jpeg,0,0,1,1
operation.csv,1,0,1,1
north.json,1,0,1,1
seem.wav,1,0,0,0
buy.png,1,0,0,0
need.wav,1,1,1,1
necessary.mp4,1,0,0,0
sell.jpeg,1,0,0,0
relate.doc,1,0,0,0
experience.wav,1,0,0,0
human.css,1,0,0,0
before.html,1,0,0,0
himself.tiff,1,0,0,0
choose.csv,1,1,1,1
west.avi,1,0,0,0
city.tiff,1,0,0,0
return.xls,0,1,1,1
culture.mov,1,0,0,0
sport.docx,1,0,0,0
consider.flac,0,0,1,1
along.webm,1,0,0,0
adult.json,0,1,1,1
fill.mp4,1,0,0,0
particularly.flac,1,0,0,0
no.ppt,1,1,1,1
center.avi,1,1,1,1
accept.webm,0,1,1,1
report.flac,1,0,0,0
science.css,1,0,0,0
home.mov,1,0,0,0
send.css,0,1,1,1
follow.css,1,0,0,0
capital.ppt,0,1,1,1
out.mp3,1,0,0,0
leave.json,1,0,0,0
region.tiff,1,0,0,0
type.jpeg,1,0,0,0
up.txt,1,0,0,0
situation.csv,1,0,0,0
